feature,importance_mean,importance_std
NACCDIED,0.09897999999999998,0.002619083809273776
NACCNVST,0.04792,0.0017769637024992848
INRELTO,0.013759999999999994,0.0013440238093129163
NACCAVST,0.007769999999999999,0.0008414867794564463
MARISTAT,0.00754999999999999,0.0011993748371547546
BIRTHYR,0.005739999999999979,0.0005748043145280047
INBIRYR,0.004679999999999995,0.0006584831053261684
PACKET_T,0.0036699999999999845,0.0008544588931013658
NACCVNUM,0.003529999999999989,0.0004290687590584975
BMI,0.003170000000000006,0.0008438601779915899
AGE_AT_VISIT,0.0030099999999999905,0.00118190524154857
EDUC_LEVEL,0.002949999999999986,0.0008369587803470365
WEIGHT,0.002839999999999998,0.000867409937688068
EDUC,0.0027900000000000034,0.0006759437846448516
SEX,0.002749999999999986,0.00033837848631377475
HEIGHT,0.0020399999999999863,0.0005624944444170192
AGE_AT_VISIT EDUC,0.0018900000000000028,0.0006472248450113562
AGE_AT_VISIT BMI,0.0014499999999999847,0.0004695742752749455
INBIRMO,0.0013799999999999923,0.00036276714294433975
RACE,0.0011399999999999965,0.0005180733538795126
EDUC BMI,0.0010299999999999754,0.0006928924880527859
HEARWAID,0.0009199999999999986,0.00028913664589600736
PACKET_I,0.0008400000000000074,0.0005444263035526623
BIRTHMO,0.0007900000000000019,0.00033301651610693025
HEARAID,0.0007100000000000106,0.0001868154169227103
VISITYR,0.0007000000000000006,0.00081240384046359
HISPANIC,0.000670000000000015,0.00016155494421404758
INSEX,0.000550000000000006,0.0003694590640382277
FORMVER,0.0005499999999999949,0.00040062451248020414
VISCORR,0.0002999999999999892,0.0002720294101747075
VISITMO,0.00020000000000000017,0.00037148351242012915
HANDED,0.00014999999999998348,0.00012041594578790969
VISION,6.99999999999923e-05,0.00014177446878756264
HEARING,6.99999999999923e-05,0.00016155494421401734
HIGH_BP,4.999999999999449e-05,0.00017464249196571057
PACKET_IT,-9.999999999998898e-06,2.9999999999996694e-05
VISWCORR,-6.0000000000015594e-05,0.00041521078984053044
VISITDAY,-0.0001600000000000046,0.00037999999999998967
HRATE,-0.00040000000000001146,0.0003033150177620762
BPSYS,-0.0006800000000000029,0.00029597297173898125
